"ID de la réponse","Date de soumission","Dernière page","Langue de départ","Tête de série","Date de lancement","Date de la dernière action","URL référente","votre établissement a t-il une politique ou une charte en matière d'usage des outils d'Intelligence Artificielle Générative (IAG) ? tels ChatGPT","A quel point les notions ci-dessous vous sont familières :  valeurs de 1 à 5 :  1 = Je n'en ai pas entendu parler  5 = Je saurais expliquer en quoi cela consiste à un.e étudiant.e  [Grand Modèle de Langage (LLM)]","A quel point les notions ci-dessous vous sont familières :  valeurs de 1 à 5 :  1 = Je n'en ai pas entendu parler  5 = Je saurais expliquer en quoi cela consiste à un.e étudiant.e  [vectorisation]","A quel point les notions ci-dessous vous sont familières :  valeurs de 1 à 5 :  1 = Je n'en ai pas entendu parler  5 = Je saurais expliquer en quoi cela consiste à un.e étudiant.e  [tokenisation]","A quel point les notions ci-dessous vous sont familières :  valeurs de 1 à 5 :  1 = Je n'en ai pas entendu parler  5 = Je saurais expliquer en quoi cela consiste à un.e étudiant.e  [entraînement et inférences]","A quel point les notions ci-dessous vous sont familières :  valeurs de 1 à 5 :  1 = Je n'en ai pas entendu parler  5 = Je saurais expliquer en quoi cela consiste à un.e étudiant.e  [RAG (Retrieved Augmented Generation)]","A quel point les notions ci-dessous vous sont familières :  valeurs de 1 à 5 :  1 = Je n'en ai pas entendu parler  5 = Je saurais expliquer en quoi cela consiste à un.e étudiant.e  [open source (code, grand modèle de langage, logiciel)]","A quel point les notions ci-dessous vous sont familières :  valeurs de 1 à 5 :  1 = Je n'en ai pas entendu parler  5 = Je saurais expliquer en quoi cela consiste à un.e étudiant.e  [fine-tuning (appliqué à une IAG)]","Assurez-vous des formations auprès de publics étudiants dans votre établissement ?","Avec quelle fréquence utilisez-vous des outils d'intelligence artificielle (IAG) comme ChatGPT ?","Vous aidez-vous d'IAG pour créer vos supports de cours ?","Intégrez-vous l'usage d'outils d'intelligence artificielle dans vos sessions de formation ?","Si votre établissement dispose d'une politique / charte / réglement concernant l'usage des outils d'intelligence artificielle générative par les étudiant.e.s,  pourriez-vous indiquer en quoi elle impacte votre travail en tant que personnel ou formateur/formatrice ?","Par quel biais abordez-vous la question des IAG dans vos formations ? [en parlant de plagiat]","Par quel biais abordez-vous la question des IAG dans vos formations ? [en parlant de plagiat][Commentaire]","Par quel biais abordez-vous la question des IAG dans vos formations ? [en parlant d'aide à la recherche documentaire]","Par quel biais abordez-vous la question des IAG dans vos formations ? [en parlant d'aide à la recherche documentaire][Commentaire]","Par quel biais abordez-vous la question des IAG dans vos formations ? [en parlant d'aide à la rédaction]","Par quel biais abordez-vous la question des IAG dans vos formations ? [en parlant d'aide à la rédaction][Commentaire]","Par quel biais abordez-vous la question des IAG dans vos formations ? [en parlant d'évaluation de l'information et de fake news]","Par quel biais abordez-vous la question des IAG dans vos formations ? [en parlant d'évaluation de l'information et de fake news][Commentaire]","Par quel biais abordez-vous la question des IAG dans vos formations ? [dans le cadre de séances dédiées plus généralement à la culture numérique]","Par quel biais abordez-vous la question des IAG dans vos formations ? [dans le cadre de séances dédiées plus généralement à la culture numérique][Commentaire]","Par quel biais abordez-vous la question des IAG dans vos formations ? [dans le cadre de séances spécifiques dédiées aux outils d'IAG]","Par quel biais abordez-vous la question des IAG dans vos formations ? [dans le cadre de séances spécifiques dédiées aux outils d'IAG][Commentaire]","Par quel biais abordez-vous la question des IAG dans vos formations ? [autre (précisez)]","Par quel biais abordez-vous la question des IAG dans vos formations ? [autre (précisez)][Commentaire]","Dans le cadre de cette formation, y a t-il un aspect particulier de votre usage ou de l'usage par les étudiant.e.s des outils d'IAG que vous aimeriez discuter avec le formateur et les autres participants ?"
"1","2024-11-17 14:48:29","1","fr","1856275903","2024-11-17 14:47:21","2024-11-17 14:48:29",,"oui","4","4","4","4","4","4","4","oui, régulièrement","plusieurs fois par mois","oui, parfois","oui","","Non","","Oui","","Oui","","Oui","yutyuyuiui","Non","","Non","","Non","","iuiyiyiyo"
"2",,"0","fr","807045713","2024-11-17 14:56:19","2024-11-17 14:56:19",,,,,,,,,,,,,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,
"3","2024-11-18 21:25:36","1","fr","2072349659","2024-11-18 21:23:47","2024-11-18 21:25:36","https://upmail.univ-poitiers.fr/","je ne sais pas","1","2","1","2","1","4","1","oui, occasionnellement","ça m'est arrivé dans le cours de l'année","non, jamais","non",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"La validité des sources, le plagiat"
"4","2024-11-19 08:02:58","1","fr","1604087094","2024-11-19 07:56:07","2024-11-19 08:02:58","https://bluemind.univ-lr.fr/","je ne sais pas","2","2","1","1","1","2","1","pas auprès d'étudiant.e.s mais auprès d'autres publics","ça m'est arrivé dans le cours de l'année","non, jamais","non",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"Je souhaite découvrir comment les étudiants utilisent ses outils, dans quel cadre légal, avec quelles difficultés/quels avantages et quelles limites. En premier lieu pour ma culture professionnelle puis dans un second temps si j'en ai l'occasion, pour pouvoir créer un temps d'échange et/ou de formation avec les étudiants."
"5","2024-11-19 08:54:32","1","fr","437206736","2024-11-19 08:53:33","2024-11-19 08:54:32","https://upmail.univ-poitiers.fr/","je ne sais pas","3","2","1","3","2","3","1","oui, régulièrement","ça m'est arrivé dans le cours de l'année","non, jamais","non",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,""
"6","2024-11-19 09:20:57","1","fr","1412679255","2024-11-19 09:06:21","2024-11-19 09:20:57","https://webmail-zimbra.univ-tours.fr/","oui","4","1","1","4","4","3","1","oui, occasionnellement","plusieurs fois par semaine","oui, rarement","non","Le règlement des examens de l'université stipule que l'utilisation de l'IA est interdite, sauf accord explicite de l'équipe pédagogique ou de l'enseignant.e. Un GT va être mis en place pour élaborer une charte.
Dans ce contexte, nous avons intégré une sensibilisation à l'IA dans nos formations pour tous les niveaux : qu'est-ce que l'IAG ? Comment cela fonctionne ? A quoi cela peut-il me servir dans le cadre de mes études ?","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"Je me questionne sur le positionnement des personnels de bibliothèques, et notamment des formateurs, en ce qui concerne l'IAG : sommes-nous légitimes pour former à des outils de type ChatGPT, Perplexity ? Ne devrions-nous pas nous centrer sur des outils qui permettent une recherche documentaire de qualité et de niveau universitaire (cf intégration de l'IA dans Cairn, JSTOR, Elsevier...) et amener les étudiants à les utiliser (plutôt que les IA ""grand public"") ?"
"7","2024-11-19 10:32:59","1","fr","1013024895","2024-11-19 10:22:16","2024-11-19 10:32:59","https://partage.univ-orleans.fr/","oui","1","1","1","1","1","5","5","oui, régulièrement","plusieurs fois par mois","non, jamais","non","Pour la vérification des mémoires et de leurs bibliographies, si nos étudiants se sont fait aider par l'IA.","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"Je voudrais avoir des infos pour l'orienter pour une bonne utilisation de l'IA et qu'il ne fasse pas du copier-coller dans leur future mémoire.
Et que l'on détecte à la lecture de leur mémoire ou même dans la vérification de la bibliographie."
"8","2024-11-19 10:24:37","1","fr","465124601","2024-11-19 10:22:59","2024-11-19 10:24:37",,"non","1","1","1","1","1","3","1","oui, régulièrement","je n'en ai jamais utilisé",,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"quels sont les outils les plus fréquemment utilisés et comment les reconnaitre dans une copie."
"9","2024-11-19 11:58:00","1","fr","1025990322","2024-11-19 11:45:21","2024-11-19 11:57:59","https://upmail.univ-poitiers.fr/","non","1","1","1","1","3","4","1","oui, occasionnellement","je n'en ai jamais utilisé",,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"Mieux comprendre le fonctionnement des IA pour savoir comment les utiliser et comment guider les étudiants dans leur utilisation, notamment dans la recherche de documents et l'exploitation des données."
"10","2024-11-19 13:22:11","1","fr","1151633300","2024-11-19 13:19:16","2024-11-19 13:22:11","https://upmail.univ-poitiers.fr/","non","1","2","2","1","2","4","2","oui, régulièrement","je n'en ai jamais utilisé",,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"La possibilité d'aide à la"
"11","2024-11-19 16:58:39","1","fr","1878789413","2024-11-19 16:50:11","2024-11-19 16:58:39","https://webmail-zimbra.univ-tours.fr/","non","1","1","1","1","1","1","1","oui, régulièrement","ça m'est arrivé dans le cours de l'année","non, jamais","non",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,""
"12","2024-11-19 18:02:54","1","fr","294660277","2024-11-19 17:58:06","2024-11-19 18:02:54","https://webmail-zimbra.univ-tours.fr/","","3","1","1","2","2","2","1","oui, régulièrement","ça m'est arrivé dans le cours de l'année","non, jamais","oui",,"Non","","Oui","","Non","","Non","","Non","","Non","","Non","",""
"13","2024-11-20 09:51:45","1","fr","1302844071","2024-11-20 09:42:30","2024-11-20 09:51:45","https://webmail.unilim.fr/","oui","2","2","2","3","2","3","2","oui, régulièrement","ça m'est arrivé dans le cours de l'année","non, jamais","non","Dans le cadre des formations, nous abordons le droit d'auteur et parlons de l'IA et de ce qu'ils ont le droit de faire ou non","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"Les étudiants nous parlent de l'IA réellement depuis 2 ans, nous avons travailler sur l'aspect droit d'auteur et plagiat, mais devrions approfondir les outils que nous ne maîtrisons pas totalement contrairement aux étudiants"
"14","2024-11-22 13:35:44","1","fr","646730145","2024-11-22 13:34:29","2024-11-22 13:35:44","https://webmail-zimbra.univ-tours.fr/","je ne sais pas","1","1","1","1","1","1","1","oui, occasionnellement","plusieurs fois par mois","non, jamais","non",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,""
"15","2024-11-22 17:06:22","1","fr","1985860695","2024-11-22 16:58:42","2024-11-22 17:06:22",,"je ne sais pas","2","2","2","2","3","2","2","oui, régulièrement","ça m'est arrivé dans le cours de l'année","non, jamais","",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"L'usage d'un outil d'IA pour créer des revues de littérature (domaines de la santé) : meilleurs outils, méthodes"
"16","2024-11-25 16:31:07","1","fr","2067573213","2024-11-25 16:29:33","2024-11-25 16:31:07","https://webmail-zimbra.univ-tours.fr/","non","4","1","1","4","3","5","1","oui, occasionnellement","ça m'est arrivé dans le cours de l'année","non, jamais","non",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,""
"17","2024-11-26 12:36:09","1","fr","914607347","2024-11-26 12:32:27","2024-11-26 12:36:09","https://webmail.campus-condorcet.fr/","non","2","1","1","1","1","5","1","oui, régulièrement","ça m'est arrivé dans le cours de l'année","oui, rarement","non",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"Hallucinations, biais et limites des outils d'IA, citation des sources, vérification des réponses apportées par l'IA, regard critique, autorité intellectuelle"
"18","2024-11-27 09:17:26","1","fr","104662257","2024-11-27 09:12:10","2024-11-27 09:17:26",,"je ne sais pas","1","1","1","1","1","2","1","oui, régulièrement","je n'en ai jamais utilisé",,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"J'aimerai connaitre les limites de l'IA par rapport à sa pertinence en matière de recherche bibliographique pour pouvoir, si besoin est, adapter la pédagogie de recherche documentaire auprès des étudiants.
"
"19","2024-11-27 18:05:22","1","fr","73819556","2024-11-27 18:03:47","2024-11-27 18:05:22","https://bluemind.univ-lr.fr/","non","3","1","1","1","3","1","1","oui, régulièrement","ça m'est arrivé dans le cours de l'année","non, jamais","non",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,""
